"Species after GB analysis","GB Number","Paper titles","Searched name",
"Anemia phyllitidis","SRX3868021","fern whole genome duplication study","Anemia phyllitidis"
"Laguncularia racemosa","ERX4840596|ERX4839674|SRX4636682|SRX4636681|SRX4636680|SRX4636679|SRX4636678|SRX4636677|SRX4636676|SRX4636675|SRX4636674|SRX4636673|SRX4636672|SRX4636671|SRX4636670|SRX4636669|SRX4636668|SRX4636667|SRX4636666|SRX4636665|SRX4636664|SRX4636663|SRX4636662|SRX4636661|SRX4636660|SRX4636659|SRX4636658|SRX4636657|SRX4636656|SRX4636655|SRX4636654|SRX4636653|SRX4636652|SRX4636651|SRX4636650|SRX4636649|SRX4636648|SRX4636647|SRX4636646|SRX4636645|SRX4636644|SRX4636643|SRX4636642|SRX4636641|SRX4636640|SRX4636639|SRX4636638|SRX4636637|SRX4636636|SRX4636635|SRX4636634|SRX4636633|SRX4373583|SRX4373582|SRX4373581|SRX4373580|SRX4373579|SRX4373578|SRX4373577|SRX4373576|SRX4373575|SRX4373574|SRX4373573|SRX4373572|SRX4373571|SRX4373570|SRX4373569|SRX4373568|SRX4373567|SRX4373566|SRX4373565|SRX4373564|SRX4373563|SRX4373562|SRX4373561|SRX4373560|SRX4373559|SRX4373558|SRX4373557|SRX4373556|SRX4373555|SRX4373554|SRX4373553|SRX4373552|SRX4373551|SRX4373550|SRX4373549|SRX4373548|SRX4373547|SRX4373546|SRX4373545|SRX4373544|SRX4373543|SRX4373542|SRX4373541|SRX4373540|SRX4373539|SRX4373538|SRX4373537|SRX4373536|SRX4373535|SRX4373534|SRX4373533|SRX4373532|SRX4373531|SRX4373530|SRX2396751|SRX2396750|SRX2396749|SRX2396748","Data for release 1.0 of the Kew Tree of Life Explorer|White mangrove RAD-Seq data from the Caribbean|Laguncularia racemosa Transcriptome or Gene expression","Laguncularia racemosa"
"Terminalia buceras","ERX4839677","Data for release 1.0 of the Kew Tree of Life Explorer","Terminalia buceras"
"Commelina communis|Commelina communis f. ciliata","SRX9747425|DRX132594","Several plants of Commelina Genome sequencing and assembly|Development of microsatellite makers for Commelina communis f. ciliata","Commelina communis"
"Commelina diffusa","SRX9747427","Several plants of Commelina Genome sequencing and assembly","Commelina diffusa"
"Gibasis karwinskyana","ERX4840748","Data for release 1.0 of the Kew Tree of Life Explorer","Gibasis karwinskyana"
"Gibasis pellucida","SRX8165883","DNA Barcodes from the Global Genome Initiative for Gardens Program","Gibasis pellucida"
"Tradescantia pallida","SRX5660631|SRX5660630|SRX5660629|SRX5660552|SRX5660551|SRX5660550|SRX5660501|SRX5660500|SRX5660499","Tradescantia pallida Raw sequence reads","Tradescantia pallida"
"Tradescantia standleyi","ERX4840749","Data for release 1.0 of the Kew Tree of Life Explorer","Tradescantia standleyi"
"Tradescantia zebrina","SRX9146191","Hanguana in Singapore","Tradescantia zebrina"
"Weldenia candida","ERX4840750","Data for release 1.0 of the Kew Tree of Life Explorer","Weldenia candida"
"Cnestidium rufescens","ERX4839669","Data for release 1.0 of the Kew Tree of Life Explorer","Cnestidium rufescens"
"Calystegia sepium","SRX8861150|SRX8861031","DNA barcoding tallgrass prairie plants","Calystegia sepium"
"Cuscuta americana","ERX3567836","Repetitive sequences in parasitic plants","Cuscuta americana"
"Cuscuta californica","ERX3567837","Repetitive sequences in parasitic plants","Cuscuta californica"
"Cuscuta indecora","ERX3567841|ERX3577396|ERX3577395|ERX3577394|ERX3577393|SRX5986739|SRX5986731|SRX5986726","Repetitive sequences in parasitic plants|Identification of centromere-associated DNA sequences in Cuscuta species|Small RNA-seq from multiple Cuscuta species parasitizing Arabidopsis","Cuscuta indecora"
"Cuscuta pentagona","ERX3567843|SRX5986737|SRX5986735|SRX5986733|SRX5986714|SRX5986712|SRX5986710|SRX3088018|SRX3088016|SRX3088014|ERX2099680|SRX1992353|SRX1992352|SRX1985405|SRX1985404|SRX373101|SRX345400|SRX345414|SRX345413|SRX345412|SRX345411|SRX345401|SRX345283|SRX345282|SRX345113|SRX345073","Repetitive sequences in parasitic plants|Small RNA-seq from multiple Cuscuta species parasitizing Arabidopsis|Cuscuta pentagona Transcriptome or Gene expression|1000 Plant (1KP) Transcriptomes: The Remaining Data|Cuscuta pentagona Small RNA|Small RNAs from Cuscuta campestris parasitizing Arabidopsis thaliana","Cuscuta pentagona"
"Ipomoea alba","SRX3990892","Sweet potato and wild relatives - raw data","Ipomoea alba"
"Ipomoea ampullacea","SRX6794591","Sweet potato and wild relatives - raw data","Ipomoea ampullacea"
"Ipomoea aquatica","SRX9518729|SRX8803450|SRX1845921|SRX1625766","complete plastome of Ipomoea aquatica|Prolonged heat stress|Ipomoea aquatica Raw sequence reads|Ipomoea aquatica Forsk.  Raw sequence reads","Ipomoea aquatica"
"Ipomoea arborescens","SRX3990856","Sweet potato and wild relatives - raw data","Ipomoea arborescens"
"Ipomoea aristolochiifolia","SRX6794722","Sweet potato and wild relatives - raw data","Ipomoea aristolochiifolia"
"Ipomoea asarifolia","SRX6794585","Sweet potato and wild relatives - raw data","Ipomoea asarifolia"
